iteration,exchange,exchangeRandom,inversion,swap,scramble,randomShuffle,add,addRandomly,shift
,50,50,50,50,50,50,50,50,50
,0,0,0,0,0,0,0,50,400
,0,0,0,0,0,0,0,400,50
,0,0,0,0,0,0,0,50,400
,0,0,0,0,0,0,0,400,50
,0,0,0,0,0,0,0,50,400
,0,0,0,0,0,0,0,400,50
,0,0,0,0,0,0,0,50,400
,0,0,0,0,0,0,0,400,50
,0,0,0,0,0,0,0,50,400
,0,0,0,0,0,0,0,400,50
,0,0,0,0,0,0,0,50,400
,0,0,0,0,0,0,0,400,50
,0,0,0,0,0,0,0,50,400
,0,0,0,0,0,0,0,400,50
,0,0,0,0,0,0,0,50,400
,0,0,0,0,0,0,0,400,50
,0,0,0,0,0,0,0,50,400
,0,0,0,0,0,0,0,400,50
,0,0,0,0,0,0,0,50,400
,0,0,0,0,0,0,0,400,50
,0,0,0,0,0,0,0,50,400
,0,0,0,0,0,0,0,400,50
,0,0,0,0,0,0,0,50,400
,0,0,0,0,0,0,0,400,50
,0,0,0,0,0,0,0,50,400
,0,0,0,0,0,0,0,400,50
,0,0,0,0,0,0,0,50,400
,0,0,0,0,0,0,0,400,50
,0,0,0,0,0,0,0,50,400
,0,0,0,0,0,0,0,400,50
,0,0,0,0,0,0,0,50,400
,0,0,0,0,0,0,0,400,50
,0,0,0,0,0,0,0,50,400
,0,0,0,0,0,0,0,400,50
,0,0,0,0,0,0,0,50,400
,0,0,0,0,0,0,0,400,50
,0,0,0,0,0,0,0,50,400
,0,0,0,0,0,0,0,400,50
,0,0,0,0,0,0,0,50,400
,0,0,0,0,0,0,0,400,50
,0,0,0,0,0,0,0,50,400
,0,0,0,0,0,0,0,400,50
,0,0,0,0,0,0,0,50,400
,0,0,0,0,0,0,0,400,50
,0,0,0,0,0,0,0,50,400
,0,0,0,0,0,0,0,400,50
,0,0,0,0,0,0,0,50,400
,0,0,0,0,0,0,0,400,50
,0,0,0,0,0,0,0,50,400
,0,0,0,0,0,0,0,400,50
,0,0,0,0,0,0,0,50,400
,0,0,0,0,0,0,0,399,51
,0,0,0,0,0,0,0,51,399
,0,0,0,0,0,0,0,399,51
,0,0,0,0,0,0,0,51,399
,0,0,0,0,0,0,0,399,51
,0,0,0,0,0,0,0,51,399
,0,0,0,0,0,0,0,399,51
,0,0,0,0,0,0,0,51,399
,0,0,0,0,0,0,0,399,51
,0,0,0,0,0,0,0,51,399
,0,0,0,0,0,0,0,399,51
,0,0,0,0,0,0,0,51,399
,0,0,0,0,0,0,0,399,51
